date,machine_id,temp,helium_pressure,vibration,error_codes,scan_volume,failure_label
2025-01-01,MRI_001,67.48,94.59,0.347,1,55,Normal
2025-01-02,CT_001,72.9,97.3,0.18,1,45,Normal
2025-01-03,MRI_002,66.21,89.26,0.009,1,34,Monitor
2025-01-04,MRI_001,60.46,90.76,0.47,1,37,Normal
2025-01-05,MRI_001,62.28,95.33,0.077,0,43,Normal
2025-01-06,MRI_002,62.0,97.84,0.294,1,33,Normal
2025-01-07,MRI_001,62.33,94.98,0.216,2,43,Normal
2025-01-08,CT_002,58.36,95.59,0.361,0,41,Normal
2025-01-09,CT_001,59.95,90.25,0.366,1,34,Normal
2025-01-10,MRI_001,59.35,95.4,0.337,2,48,Normal
2025-01-11,MRI_002,60.8,94.07,0.3,1,49,Normal
2025-01-12,CT_001,59.47,91.41,0.372,2,53,Normal
2025-01-13,MRI_002,69.86,97.39,0.474,2,43,Normal
2025-01-14,CT_001,65.44,94.1,0.264,2,20,Normal
2025-01-15,CT_002,61.05,97.23,0.218,2,35,Normal
2025-01-16,CT_001,69.58,95.99,0.171,4,45,Normal
2025-01-17,MRI_001,63.72,93.9,0.441,1,37,Normal
2025-01-18,MRI_001,51.72,96.04,0.191,2,37,Normal
2025-01-19,CT_002,74.43,95.52,0.289,2,39,Normal
2025-01-20,CT_001,59.64,92.02,0.265,1,35,Normal
2025-01-21,CT_001,67.39,94.22,0.164,2,35,Normal
2025-01-22,MRI_001,70.71,97.26,0.369,3,30,Normal
2025-01-23,MRI_002,60.05,93.3,0.265,1,34,Normal
2025-01-24,MRI_001,57.25,95.21,0.091,3,44,Normal
2025-01-25,MRI_001,61.08,94.03,0.372,3,27,Normal
2025-01-26,CT_002,66.3,97.35,0.064,5,26,Normal
2025-01-27,CT_001,66.47,92.86,0.53,2,44,Normal
2025-01-28,CT_001,61.24,91.61,0.365,3,52,Normal
2025-01-29,CT_001,58.15,92.68,0.382,4,37,Normal
2025-01-30,MRI_001,68.13,92.43,0.089,4,44,Normal
2025-01-31,MRI_002,64.38,97.22,0.182,2,47,Normal
2025-02-01,MRI_002,66.07,91.26,0.276,1,43,Normal
2025-02-02,CT_002,65.29,91.57,0.304,3,45,Normal
2025-02-03,MRI_002,67.58,96.54,0.327,5,78,Normal
2025-02-04,MRI_001,61.14,94.29,0.177,2,40,Normal
2025-02-05,MRI_001,62.93,95.24,0.116,2,36,Normal
2025-02-06,CT_002,61.35,95.65,0.257,4,33,Normal
2025-02-07,MRI_002,70.24,93.11,0.183,0,23,Normal
2025-02-08,CT_001,67.52,97.6,0.07,1,36,Normal
2025-02-09,CT_002,73.83,96.21,0.061,4,49,Normal
2025-02-10,CT_002,61.35,91.16,0.214,0,58,Normal
2025-02-11,MRI_002,48.79,91.93,0.212,3,27,Normal
2025-02-12,CT_001,72.21,90.69,0.424,1,40,Monitor
2025-02-13,CT_002,66.0,93.2,0.26,3,36,Monitor
2025-02-14,CT_002,75.67,89.14,0.227,3,45,Normal
2025-02-15,MRI_002,66.4,93.13,0.219,1,35,Normal
2025-02-16,MRI_001,62.05,97.55,0.304,4,33,Normal
2025-02-17,MRI_001,67.76,92.87,0.018,4,27,Normal
2025-02-18,MRI_002,69.13,97.44,0.446,2,40,Normal
2025-02-19,CT_002,63.64,93.16,0.537,1,50,Normal
2025-02-20,CT_002,71.02,91.41,0.366,1,46,Normal
2025-02-21,CT_002,61.5,94.97,0.064,2,57,Normal
2025-02-22,MRI_001,67.06,93.31,0.127,0,42,Normal
2025-02-23,MRI_001,62.83,95.61,0.334,0,48,Normal
2025-02-24,CT_001,57.76,90.78,0.142,4,37,Normal
2025-02-25,CT_001,63.49,94.99,0.148,0,39,Normal
2025-02-26,CT_002,66.61,92.52,0.328,2,55,Normal
2025-02-27,MRI_001,63.28,96.37,0.26,1,49,Normal
2025-02-28,CT_001,67.37,95.16,0.591,3,44,Normal
2025-03-01,MRI_002,64.45,97.93,0.032,1,47,Normal
2025-03-02,MRI_001,70.16,89.57,0.037,2,43,Monitor
2025-03-03,CT_001,58.4,100.49,0.427,2,35,Monitor
2025-03-04,MRI_002,66.7,94.74,0.291,2,42,Normal
2025-03-05,MRI_002,65.03,95.14,0.182,1,46,Normal
2025-03-06,MRI_001,65.6,96.54,0.357,2,28,Normal
2025-03-07,CT_002,66.21,101.14,0.267,4,55,Normal
2025-03-08,CT_001,68.23,99.11,0.105,1,46,Normal
2025-03-09,CT_001,70.29,89.72,0.073,3,19,Normal
2025-03-10,MRI_002,73.14,90.86,0.006,3,39,Monitor
2025-03-11,MRI_001,58.48,97.01,0.305,1,30,Normal
2025-03-12,CT_002,64.69,97.87,0.102,1,45,Normal
2025-03-13,MRI_002,62.35,92.62,0.234,1,29,Normal
2025-03-14,CT_002,74.82,95.11,0.145,2,42,Monitor
2025-03-15,MRI_002,69.26,93.14,0.14,1,45,Normal
2025-03-16,CT_002,76.87,94.07,0.156,1,18,Maintenance
2025-03-17,MRI_002,69.26,92.04,0.254,1,49,Maintenance
2025-03-18,CT_002,72.62,87.63,0.128,1,30,Maintenance
2025-03-19,CT_001,59.69,93.04,0.134,5,36,Normal
2025-03-20,CT_002,76.87,98.04,0.184,0,55,Normal
2025-03-21,MRI_002,60.62,90.85,0.389,3,59,Normal
2025-03-22,MRI_001,61.75,93.54,0.161,2,31,Normal
2025-03-23,MRI_002,52.49,97.05,0.309,3,39,Normal
2025-03-24,MRI_001,67.64,95.62,0.556,2,56,Normal
2025-03-25,MRI_001,61.18,89.59,0.006,0,40,Normal
2025-03-26,MRI_001,57.38,97.39,0.079,2,42,Normal
2025-03-27,MRI_001,60.7,93.85,0.401,2,34,Normal
2025-03-28,CT_001,61.38,102.3,0.016,3,29,Normal
2025-03-29,MRI_002,65.85,95.27,0.323,1,55,Normal
2025-03-30,CT_002,62.03,96.76,0.202,3,36,Normal
2025-03-31,CT_002,63.65,97.84,0.212,2,53,Normal
2025-04-01,MRI_002,65.09,100.03,0.299,3,37,Normal
2025-04-02,CT_002,57.61,98.43,0.301,4,35,Normal
2025-04-03,CT_002,59.54,92.55,0.476,3,44,Normal
2025-04-04,MRI_001,71.43,93.67,0.186,4,34,Normal
2025-04-05,MRI_001,61.13,91.27,0.017,2,54,Normal
2025-04-06,CT_001,65.9,102.93,0.22,6,40,Normal
2025-04-07,MRI_001,74.41,99.04,0.489,3,34,Normal
2025-04-08,MRI_002,65.28,98.28,0.004,0,55,Normal
2025-04-09,MRI_002,70.35,93.25,0.378,2,16,Normal
2025-04-10,CT_001,63.32,100.01,0.211,1,24,Normal
2025-04-11,MRI_001,51.52,94.84,0.215,2,46,Normal
2025-04-12,MRI_001,59.91,96.55,0.13,3,38,Normal
2025-04-13,MRI_001,61.09,97.02,0.233,1,41,Normal
2025-04-14,MRI_002,77.85,91.68,0.458,2,13,Normal
2025-04-15,CT_002,63.29,93.89,0.039,2,32,Normal
2025-04-16,CT_002,67.43,92.68,0.237,1,40,Normal
2025-04-17,MRI_002,65.49,94.61,0.325,1,29,Normal
2025-04-18,CT_002,69.07,92.18,0.285,2,42,Normal
2025-04-19,CT_002,67.97,94.07,0.299,3,27,Normal
2025-04-20,CT_002,61.48,90.77,0.017,3,46,Normal
2025-04-21,CT_001,66.06,94.71,0.168,4,43,Normal
2025-04-22,MRI_001,75.78,97.02,0.157,3,35,Normal
2025-04-23,MRI_001,56.85,96.66,0.551,2,47,Normal
2025-04-24,MRI_001,66.28,97.95,0.5,2,50,Normal
2025-04-25,CT_002,66.92,87.89,0.198,2,41,Normal
2025-04-26,MRI_002,60.38,90.94,0.104,4,50,Normal
2025-04-27,MRI_001,68.04,90.44,0.249,3,33,Normal
2025-04-28,MRI_001,65.9,94.0,0.546,1,39,Normal
2025-04-29,MRI_002,67.5,96.6,0.087,2,49,Normal
2025-04-30,MRI_002,64.63,96.86,0.277,6,26,Normal
2025-01-01,MRI_001,57.37,94.83,0.373,0,41,Normal
2025-01-02,CT_002,59.59,98.16,0.244,4,46,Normal
2025-01-03,CT_001,57.97,96.5,0.094,1,52,Normal
2025-01-04,MRI_002,67.06,89.21,0.152,3,50,Normal
2025-01-05,CT_001,68.57,95.14,0.433,2,33,Normal
2025-01-06,CT_002,62.77,99.36,0.487,1,34,Normal
2025-01-07,CT_001,58.28,92.24,0.099,0,32,Normal
2025-01-08,MRI_001,55.33,91.38,0.089,2,46,Normal
2025-01-09,MRI_001,69.92,94.36,0.243,1,46,Normal
2025-01-10,MRI_002,65.83,96.48,0.293,1,64,Normal
2025-01-11,MRI_002,61.88,93.33,0.154,0,51,Normal
2025-01-12,MRI_001,63.13,91.48,0.369,1,50,Normal
2025-01-13,CT_001,61.47,92.89,0.604,1,49,Normal
2025-01-14,CT_002,63.19,96.75,0.332,1,50,Normal
2025-01-15,CT_001,56.26,91.23,0.383,1,30,Normal
2025-01-16,MRI_001,68.47,91.82,0.272,3,31,Normal
2025-01-17,CT_001,56.8,96.39,0.286,7,43,Monitor
2025-01-18,MRI_001,61.75,96.44,0.194,1,31,Monitor
2025-01-19,MRI_002,67.09,96.2,0.216,3,40,Normal
2025-01-20,MRI_001,68.77,90.95,0.474,0,42,Normal
2025-01-21,MRI_002,66.25,99.73,0.236,2,42,Normal
2025-01-22,MRI_002,65.88,96.23,0.222,1,35,Normal
2025-01-23,MRI_002,55.95,97.9,0.178,4,41,Normal
2025-01-24,CT_001,72.83,94.8,0.167,2,58,Normal
2025-01-25,CT_001,58.85,94.47,0.347,1,49,Normal
2025-01-26,MRI_001,70.61,98.93,0.217,3,28,Normal
2025-01-27,CT_002,69.49,94.38,0.143,0,33,Normal
2025-01-28,MRI_001,58.74,99.33,0.238,3,51,Normal
2025-01-29,MRI_002,67.85,96.34,0.346,0,53,Normal
2025-01-30,CT_001,71.25,96.47,0.095,0,39,Normal
2025-01-31,CT_002,61.62,100.4,0.244,0,25,Normal
2025-02-01,CT_002,57.04,96.69,0.155,1,49,Normal
2025-02-02,MRI_001,64.13,92.94,0.621,4,35,Normal
2025-02-03,MRI_002,60.17,94.86,0.249,3,28,Normal
2025-02-04,CT_001,66.04,88.87,0.213,0,33,Normal
2025-02-05,MRI_002,64.1,92.8,0.279,2,29,Normal
2025-02-06,MRI_001,72.0,97.77,0.259,4,33,Normal
2025-02-07,MRI_001,65.57,97.85,0.22,3,53,Normal
2025-02-08,MRI_002,59.84,93.41,0.343,3,51,Normal
2025-02-09,MRI_001,59.36,96.69,0.175,0,42,Normal
2025-02-10,CT_002,63.71,89.99,0.31,2,46,Monitor
2025-02-11,MRI_002,57.19,101.01,0.234,3,57,Monitor
2025-02-12,MRI_002,69.0,95.54,0.33,2,27,Monitor
2025-02-13,MRI_002,67.47,95.78,0.167,3,33,Monitor
2025-02-14,MRI_001,67.72,93.89,0.366,2,11,Normal
2025-02-15,CT_001,66.87,94.74,0.371,2,27,Normal
2025-02-16,CT_002,64.77,96.43,0.262,2,27,Normal
2025-02-17,MRI_002,68.24,90.82,0.124,1,45,Normal
2025-02-18,MRI_001,69.24,98.67,0.432,3,39,Normal
2025-02-19,MRI_001,63.37,93.35,0.257,1,33,Normal
2025-02-20,MRI_002,64.35,91.9,0.222,1,44,Normal
2025-02-21,CT_002,65.7,96.36,0.23,3,50,Normal
2025-02-22,MRI_002,60.31,96.93,0.291,2,33,Normal
2025-02-23,MRI_002,69.35,96.49,0.273,4,43,Normal
2025-02-24,CT_001,65.99,96.35,0.089,3,46,Normal
2025-02-25,CT_001,70.03,94.24,0.301,3,54,Normal
2025-02-26,CT_002,70.23,96.71,0.358,2,46,Normal
2025-02-27,CT_001,64.13,95.05,0.086,2,25,Normal
2025-02-28,MRI_001,57.24,94.09,0.056,0,33,Normal
2025-03-01,CT_001,73.21,98.03,0.147,3,62,Normal
2025-03-02,CT_001,58.05,90.06,0.403,5,64,Normal
2025-03-03,CT_002,68.79,95.84,0.266,0,39,Normal
2025-03-04,CT_001,64.06,96.66,0.245,1,30,Normal
2025-03-05,MRI_001,69.85,93.15,0.037,2,43,Normal
2025-03-06,MRI_002,60.09,94.33,0.333,1,30,Normal
2025-03-07,CT_002,61.99,95.96,0.011,4,44,Normal
2025-03-08,MRI_002,67.36,95.42,0.431,2,43,Normal
2025-03-09,MRI_001,57.99,100.25,0.063,3,33,Normal
